comparison,comparison_label,left_algorithm,right_algorithm,seed,left_overall_mean_return,right_overall_mean_return,delta_overall_mean_return,left_final20_mean_return,right_final20_mean_return,delta_final20_mean_return,left_final100_mean_return,right_final100_mean_return,delta_final100_mean_return,left_normalized_auc_return,right_normalized_auc_return,delta_normalized_auc_return,left_solve_step_100ep_at_475,right_solve_step_100ep_at_475,delta_solve_step_100ep_at_475
uniform_minus_ppo,Uniform replay - PPO,ppo_uniform_replay_ablation,ppo,1,292.92298647854204,330.5374420145792,-37.614455536037156,490.3,500.0,-9.699999999999989,496.93,496.77,0.160000000000025,412.90227221685785,414.5017005105039,-1.5994282936460422,217600.0,243588.0,-25988.0
uniform_minus_ppo,Uniform replay - PPO,ppo_uniform_replay_ablation,ppo,2,312.27363807138386,331.55644090305447,-19.282802831670608,500.0,500.0,0.0,496.97,497.82,-0.8499999999999659,421.53220471909634,413.6860397541405,7.846164964955847,204780.0,225732.0,-20952.0
uniform_minus_ppo,Uniform replay - PPO,ppo_uniform_replay_ablation,ppo,3,304.3276388041489,325.427545691906,-21.09990688775713,481.7,473.65,8.050000000000011,473.92,477.84,-3.919999999999959,414.72782883007227,409.93890920104747,4.788919629024804,268364.0,227444.0,40920.0
uniform_minus_ppo,Uniform replay - PPO,ppo_uniform_replay_ablation,ppo,4,319.01919385796543,329.78902116402116,-10.769827306055731,474.8,500.0,-25.19999999999999,486.4,491.38,-4.980000000000018,415.883204426531,412.21743134137097,3.6657730851600263,231320.0,240952.0,-9632.0
uniform_minus_ppo,Uniform replay - PPO,ppo_uniform_replay_ablation,ppo,5,306.48523985239854,329.396164021164,-22.91092416876546,478.85,484.75,-5.899999999999977,487.32,485.19,2.1299999999999955,422.6993575768202,413.4187859796409,9.28057159717929,214416.0,225364.0,-10948.0
prioritized_minus_uniform,Prioritized replay - uniform replay,ppo_prioritized_replay_ablation,ppo_uniform_replay_ablation,1,306.32800982800984,292.92298647854204,13.405023349467797,500.0,490.3,9.699999999999989,489.75,496.93,-7.180000000000007,413.3147220727025,412.90227221685785,0.4124498558446703,225380.0,217600.0,7780.0
prioritized_minus_uniform,Prioritized replay - uniform replay,ppo_prioritized_replay_ablation,ppo_uniform_replay_ablation,2,317.9764181007011,312.27363807138386,5.702780029317239,489.0,500.0,-11.0,482.43,496.97,-14.54000000000002,419.7230790842478,421.53220471909634,-1.8091256348485558,282584.0,204780.0,77804.0
prioritized_minus_uniform,Prioritized replay - uniform replay,ppo_prioritized_replay_ablation,ppo_uniform_replay_ablation,3,305.6405388854868,304.3276388041489,1.3129000813379434,492.95,481.7,11.25,482.29,473.92,8.370000000000005,413.9781888915208,414.72782883007227,-0.7496399385514678,193096.0,268364.0,-75268.0
prioritized_minus_uniform,Prioritized replay - uniform replay,ppo_prioritized_replay_ablation,ppo_uniform_replay_ablation,4,316.45558375634516,319.01919385796543,-2.56361010162027,491.55,474.8,16.75,491.64,486.4,5.240000000000009,419.4441504638151,415.883204426531,3.5609460372841113,243668.0,231320.0,12348.0
prioritized_minus_uniform,Prioritized replay - uniform replay,ppo_prioritized_replay_ablation,ppo_uniform_replay_ablation,5,311.91119449656037,306.48523985239854,5.425954644161834,486.5,478.85,7.649999999999977,481.48,487.32,-5.839999999999975,424.376448250476,422.6993575768202,1.6770906736558118,274352.0,214416.0,59936.0
prioritized_minus_ppo,Prioritized replay - PPO,ppo_prioritized_replay_ablation,ppo,1,306.32800982800984,330.5374420145792,-24.20943218656936,500.0,500.0,0.0,489.75,496.77,-7.019999999999982,413.3147220727025,414.5017005105039,-1.186978437801372,225380.0,243588.0,-18208.0
prioritized_minus_ppo,Prioritized replay - PPO,ppo_prioritized_replay_ablation,ppo,2,317.9764181007011,331.55644090305447,-13.58002280235337,489.0,500.0,-11.0,482.43,497.82,-15.389999999999986,419.7230790842478,413.6860397541405,6.037039330107291,282584.0,225732.0,56852.0
prioritized_minus_ppo,Prioritized replay - PPO,ppo_prioritized_replay_ablation,ppo,3,305.6405388854868,325.427545691906,-19.787006806419186,492.95,473.65,19.30000000000001,482.29,477.84,4.4500000000000455,413.9781888915208,409.93890920104747,4.039279690473336,193096.0,227444.0,-34348.0
prioritized_minus_ppo,Prioritized replay - PPO,ppo_prioritized_replay_ablation,ppo,4,316.45558375634516,329.78902116402116,-13.333437407676001,491.55,500.0,-8.449999999999989,491.64,491.38,0.2599999999999909,419.4441504638151,412.21743134137097,7.226719122444138,243668.0,240952.0,2716.0
prioritized_minus_ppo,Prioritized replay - PPO,ppo_prioritized_replay_ablation,ppo,5,311.91119449656037,329.396164021164,-17.484969524603628,486.5,484.75,1.75,481.48,485.19,-3.7099999999999795,424.376448250476,413.4187859796409,10.957662270835101,274352.0,225364.0,48988.0
